dog breed,breed description
fox terrier,"Originally created as smaller versions of their larger Smooth Fox Terrier dog breed ancestors, Toy Fox Terriers have been used for a variety of tasks, serving as ratters on farms and as hunters of small game such as squirrel. They have been successful circus dogs and performers and their intelligence helps them to do well in obedience and agility competitions. Their most important purpose, however, is to be a loyal, loving, and devoted companion that amuses and entertains their families."
toy poodle,"The Toy Poodles have a shoulder height of up to 25 cm (10 in) and weigh 3-4 kg (6-9 lbs). Poodles are very elegant in appearance. They have a long, narrow muzzle, slight stop (point at which the forehead meets the muzzle), dark eyes, and wide ears. Toy Poodles have flat backs, straight, docked tails and small, oval feet. Their length is approximately the same as their height.The Toy Poodle is sensitive, intelligent, lively, playful, proud, and elegant. It bonds closely with family and makes a great companion. Toy Poodles are very smart, obedient, and graceful, which makes them one of the most popular pets in the world. The Toy Poodle is bouncy, alert, and usually eager to play. Toy Poodles are more energetic than Standard Poodles, and more likely to bark."
vizsla,"The vizsla is lightly built but muscular, giving it speed and endurance in the field. Its gait is light, graceful, smooth and ground-covering. Its short smooth coat is dense, providing some protection from the elements. The golden rust color is a hallmark of the breed.Bred to be a close-working gun dog, the vizsla has the energy to range all day. It is a true hunter at heart, a talented pointer and always on the lookout for bird scent. It can become frustrated and destructive if not given adequate exercise. Most can be stubborn, some can be timid and others can be overly excitable. It is gentle, affectionate and sensitive, and can be protective. The vizsla makes a good companion for an active owner who spends a lot of time outdoors."
walker hound,"The Treeing Walker dog breed has a short, clear bark and a passion for the hunt. Some are shy, some are confident, but they're all hounds meaning, they need patient training and plenty of exercise."
weimaraner,"The Weimaraner is built to hunt with great speed and endurance and combines grace, stamina, raciness and an alert demeanor. It has find aristocratic features, with a kind expression. The gait is smooth and effortless. The short sleek coat is noted for its unique gray color.The Weimaraner is bold and rambunctious, sometimes too much so for small children. It loves to run and hunt and can become frustrated and destructive if kept penned up. It can be stubborn or headstrong. It functions best with an active owner who enjoys outdoor activities and wants a fun-loving companion."
welsh springer spaniel,"The Welsh springer spaniel is a hunting dog and should be in hard muscular condition. It is in no way a breed of exaggeration. It is very slightly longer than tall, compact and possessing substance without coarseness. Its strides are powerful and ground-covering. The coat is flat and straight, dense enough to protect it from water, weather and thorns but not so excessive as to be a hindrance in the dog's work as a flushing spaniel. The expression is soft.Less exuberant that the English springer, the Welsh springer spaniel is steady and easygoing. It still needs plenty of hard exercise, however, as it loves to hunt for birds. It is extremely devoted to its family, but it is independent in nature. It is reserved with strangers; some may even be timid."
west highland white terrier,"The Westie is compact and short-coupled. It must be small enough to fit between rocks in a narrow passageway that was the typical fox den in its area of origin. These passages were often so narrow that the dog could not turn around. Short legs aided in maneuverability in the cramped passages. It had to have formidable teeth and jaws in order to face a fox in closed quarters. The harsh double coat, especially the hard, straight outer coat, provided protection from the fox's teeth, especially around the head, as well as from the elements. The tail needed to be sufficiently long to provide a handhold by which the dog could be pulled from shallow holes.The busy Westie is happy, curious and always in the thick of things. It is affectionate and demanding, one of the friendliest terriers. It is not friendly, however, toward small animals. It enjoys a daily romp in a safe area or a walk on lead, as well as playtime at home. It is independent and somewhat stubborn. It barks and digs."
whippet,"A greyhound in miniature, the whippet is among the sleekest of dogs, with a curvaceous, streamlined silhouette, long legs and a lean physique. It is the ultimate sprinter, unsurpassed by any other breed in its ability to accelerate to top speed and to twist and turn with unequaled agility. The whippet is a lightweight version of the greyhound, with an especially supple top-line and powerful hindquarters enabling it to execute the double-suspension gallop at its most extreme. It is square or slightly longer than tall. The gait is low and free-moving. The expression is keen and alert.Perhaps the most demonstrative and obedient of the true sighthounds, the whippet makes an ideal pet for people who want a quiet house dog and absolutely devoted companion. The whippet is extremely gentle with children and can make an excellent companion for them. It is calm indoors but loves to run and play outdoors. It is extremely sensitive (both physically and mentally) and cannot take rough treatment or harsh corrections."
wire-haired fox terrier,"The wire fox terrier is short-backed and square-proportioned, but at the same time standing over a lot of ground. Its conformation combines speed, endurance and power, enabling it to gallop and stay with the horses and hounds during the hunt and to follow a fox up a narrow passage. The gait while trotting gets most of its propulsion from the rear quarters. The expression, like the attitude, is keen; the carriage is alert and expectant. The coat is dense, wiry, broken and twisted, almost appearing like coconut matting, with a short, fine undercoat. The outer coat may be crinkled, but it should not be curly.A true ""live-wire,"" the wire fox terrier is always up for adventure. This breed lives to play, explore, run, hunt and chase. It can be mischievous and independent and may dig and bark. It is usually fairly reserved with strangers. The wire has a reputation for being somewhat scrappier with other dogs when compared to the smooth."
yorkshire terrier,"The Yorkshire Terrier appearance is that of a well-balanced, long coated, small (Toy-type) terrier, readily identified by its steel blue and tan, straight-flowing coat. The hair is parted on the muzzle and from the base of the skull to the end of the tail. The body is square and evenly proportioned. The dog's high head carriage and confident manner gives the appearance of vigor and self-importance.The Yorkshire Terrier is tolerant of older children, provided they respect its personal space. Due to its small size and bold temperament (which arises from its working origins) the Yorkshire Terrier is not recommended for young children unless carefully supervised. The Yorkshire Terrier can occasionally be a bit too brave when dealing with larger dogs, but gets along fine with cats and other household pets. Yorkies prefer life indoors, and are especially unsuited to cold climates."
